DATE,AHEMAN,AHEMAN_PC1,FEDFUNDS,M08297USM548NNBR,PAYEMS,PERMIT,RECPROUSM156N,UEMPMEAN,UNRATE,USREC,Consumer_Expend,Gross_Dom_Income_PC1,Natural_Rate_Unemp,SP_Close,Unemp_Gap
4/1/1969,3.03,6.31579,7.41,169,70072,1441,0.26,7.9,3.4,0,1002.452667,9.75487,5.851,103.690002,2.451
5/1/1969,3.04,5.55556,8.67,144.2,70328,1328,0.22,7.9,3.4,0,1003.858229,9.891183405,5.855038254,103.459999,2.455038254
6/1/1969,3.05,5.90278,8.9,156.25,70636,1349,0.08,7.7,3.5,0,1005.441887,10.02071321,5.859070961,97.709999,2.359070961
7/1/1969,3.07,6.59722,8.61,251.25,70729,1278,0.18,7.8,3.5,0,1007.34,10.05419,5.863,91.830002,2.363
8/1/1969,3.08,7.31707,9.19,179.8,71008,1317,0.42,7.9,3.5,0,1009.833741,9.941762987,5.86722285,95.510002,2.36722285
9/1/1969,3.12,6.84932,9.15,144,70914,1263,3.76,8,3.7,0,1012.650597,9.755689702,5.871615083,93.120003,2.171615083
10/1/1969,3.13,6.46259,9,163.25,71121,1216,7.36,7.6,3.7,0,1015.391,9.60706,5.876,97.120003,2.176
11/1/1969,3.14,6.08108,8.85,205,71086,1191,37.2,8,3.5,0,1017.965202,9.546662374,5.880642252,93.809998,2.380642252
12/1/1969,3.17,6.02007,8.97,280,71241,1155,41.58,8,3.5,0,1020.060254,9.471598615,5.885216301,92.059998,2.385216301
1/1/1970,3.17,5.66667,8.98,353.6,71176,1062,52.92,7.9,3.9,1,1021.691333,9.2234,5.89,85.019997,1.99
2/1/1970,3.17,5.66667,8.98,289.5,71305,1118,41.16,8,4.2,1,1022.822658,8.698897895,5.894815865,89.5,1.694815865
3/1/1970,3.19,5.98007,7.76,249.25,71451,1132,40.8,8.3,4.4,1,1024.008132,8.075908732,5.899176686,89.629997,1.499176686
4/1/1970,3.2,5.61056,8.1,297,71348,1224,43.02,8.2,4.6,1,1026.319667,7.36917,5.904,81.519997,1.304
5/1/1970,3.22,5.92105,7.94,250.8,71124,1328,41.38,8.6,4.8,1,1029.930988,6.774511818,5.908647713,76.550003,1.108647713
6/1/1970,3.23,5.90164,7.6,242,71029,1322,39.02,8.6,4.9,1,1033.627137,6.193348416,5.913419673,72.720001,1.013419673
7/1/1970,3.25,5.86319,7.21,340,71053,1324,38.94,8.9,5,1,1035.317333,5.56411,5.918,78.050003,0.918
8/1/1970,3.24,5.19481,6.61,257.2,70937,1394,55.66,8.8,5.1,1,1034.046819,4.79901258,5.922695912,81.519997,0.822695912
9/1/1970,3.3,5.76923,6.29,237.5,70944,1426,74.78,8.9,5.4,1,1032.067058,4.099296832,5.927396621,84.300003,0.527396621
10/1/1970,3.25,3.83387,6.2,278.6,70521,1564,85.6,8.7,5.5,1,1032.506667,3.71009,5.932,83.25,0.432
11/1/1970,3.26,3.82166,5.6,331.75,70409,1502,39.08,9.3,5.9,1,1037.498023,3.765140572,5.936865966,87.199997,0.036865966
12/1/1970,3.35,5.67823,4.9,388.25,70792,1767,0.08,9.8,6.1,0,1044.898632,4.139823324,5.94173741,92.150002,-0.15826259
1/1/1971,3.38,6.62461,4.14,429.4,70865,1643,0.26,10.5,5.9,0,1052.326,4.66303,5.947,95.879997,0.047
2/1/1971,3.39,6.94006,3.72,320.75,70807,1588,1.16,10.4,5.9,0,1057.283457,5.149895169,5.952509131,96.75,0.052509131
3/1/1971,3.39,6.26959,3.71,275.5,70860,1759,0.46,10.6,6,0,1059.975814,5.492851549,5.957551283,100.309998,-0.042448717
4/1/1971,3.42,6.875,4.15,262.5,71036,1745,0.14,10.9,5.9,0,1061.997667,5.71631,5.963,103.949997,0.063
5/1/1971,3.43,6.52174,4.63,237.8,71247,1972,0.08,11.2,5.9,0,1063.932112,5.764349279,5.968002916,99.629997,0.068002916
6/1/1971,3.45,6.81115,4.91,243,71254,1903,0.28,11.6,5.9,0,1066.61199,5.784167238,5.973040325,98.699997,0.073040325
7/1/1971,3.45,6.15385,5.31,334.4,71315,2069,0.8,11.5,6,0,1070.464667,5.95106,5.978,95.580002,-0.022
